eu
     19599
    348.863114055      88.016135072       6.126725924
    346.888242885      87.691925424       3.285136955
    345.354721755      87.199559613       0.359939909
    342.116275289      86.225849520     357.558184040
    339.127807945      84.969394840     354.870731298
    336.300709878      83.444436774     352.310990327
    333.602477836      81.662475639     349.885689925
    331.019648138      79.634464991     347.600838830
      9.367486188      79.947944662      31.311640068
      7.092488357      81.967781858      28.607747555
      4.665478361      83.739987624      25.767193181
      2.094790442      85.251569009      22.758389787
    359.395707246      86.486789613      19.513592962
    356.513347937      87.162527617      18.050568266
    353.661873579      87.685131393      16.240361623
    350.898377500      88.016077957      14.113043409
    348.285663236      88.129445445      11.714336764
    345.886956591      88.016077957       9.101622500
    343.759638377      87.685131393       6.338126421
    341.949431734      87.162527617       3.486652063
    340.486407038      86.486789613       0.604292754
    337.241610213      85.251569009     357.905209558
    334.232806819      83.739987624     355.334521639
    331.392252445      81.967781858     352.907511643
    328.688359932      79.947944662     350.632513812
      8.404685409      78.092650249      36.194286435
      6.307405375      80.335959178      33.480595869
      4.041354415      82.342010566      30.630130587
      1.615746166      84.096795341      27.612527043
    359.045772763      85.583678044      24.373578852
    356.225126580      86.437079835      22.962702780
    353.408191354      87.148213317      21.261925885
    350.628644462      87.683614056      19.290397783
    347.925776151      88.016482296      17.076711524
    345.342634414      88.129445445      14.657365586
    342.923288476      88.016482296      12.074223849
    340.709602217      87.683614056       9.371355538
    338.738074115      87.148213317       6.591808646
    337.037297220      86.437079835       3.774873420
    335.626421148      85.583678044       0.954227237
    332.387472957      84.096795341     358.384253834
    329.369869413      82.342010566     355.958645585
    326.519404131      80.335959178     353.692594625
    323.805713565      78.092650249     351.595314591
      5.313709257      78.563032416      38.339960030
      3.235159142      80.788294734      35.477770963
      0.980695862      82.772991497      32.455369683
    358.564939052      84.499969708      29.226985527
    355.821893111      85.524716026      27.859169699
    353.065701569      86.415864465      26.239680779
    350.317006851      87.144268187      24.382239202
    347.601243667      87.684597487      22.306908749
    344.948010101      88.017160323      20.039461533
    342.389849481      88.129445445      17.610150519
    339.960538467      88.017160323      15.051989899
    337.693091251      87.684597487      12.398756333
    335.617760798      87.144268187       9.682993149
    333.760319221      86.415864465       6.934298431
    332.140830301      85.524716026       4.178106889
    330.773014473      84.499969708       1.435060948
    327.544630317      82.772991497     359.019304138
    324.522229037      80.788294734     356.764840858
    321.660039970      78.563032416     354.686290743
      2.223643065      79.093614590      40.325941111
      0.165451145      81.293519999      37.296509042
    357.928319710      83.247365776      34.077887265
    355.277474817      84.436346584      32.746901643
    352.601687649      85.499147155      31.191862615
    349.913565179      86.410169498      29.423241242
    347.229740753      87.146088901      27.456069589
    344.570737877      87.687093499      25.309720451
    341.960448233      88.018047076      23.007315909
    339.425228115      88.129445445      20.574771885
    336.992684091      88.018047076      18.039551767
    334.690279549      87.687093499      15.429262123
    332.543930411      87.146088901      12.770259247
    330.576758758      86.410169498      10.086434821
    328.808137385      85.499147155       7.398312351
    327.253098357      84.436346584       4.722525183
    325.922112735      83.247365776       2.071680290
    322.703490958      81.293519999     359.834548855
    319.674058889      79.093614590     357.776356935
    359.145616644      79.673600538      42.147377477
